key,value
meta/world,2000x32x2000
meta/chunks_total,15625
meta/view_radius_chunks,24
gen/heightmap_ms,957
gen/alloc_all_chunks_ms,46
gen/mem_static_mb_after_alloc,172
mesh/window_total_ms,2588
mesh/window_chunks,2304
mesh/chunk_build_usec_avg,1097.6
mesh/chunk_build_usec_p95,1218
mesh/chunk_build_usec_worst,13875
mesh/chunk_build_usec_n,2304
view_near/frame_ms_avg,16.668
view_near/frame_ms_p95,16.667
view_near/frame_ms_worst,16.864
view_near/draw_calls_max,777
view_near/frames,720
view_far/frame_ms_avg,16.666
view_far/frame_ms_p95,16.666
view_far/frame_ms_worst,16.666
view_far/draw_calls_max,1293
view_far/frames,721
view_horizon/frame_ms_avg,16.667
view_horizon/frame_ms_p95,16.667
view_horizon/frame_ms_worst,16.667
view_horizon/draw_calls_max,1291
view_horizon/frames,720
edit/rebuild_usec_avg,1088.9
edit/rebuild_usec_p95,1141
edit/rebuild_usec_worst,1707
edit/rebuild_usec_n,100
streaming_flight/frame_ms_avg,16.764
streaming_flight/frame_ms_p95,16.667
streaming_flight/frame_ms_worst,132.731
streaming_flight/draw_calls_max,760
streaming_flight/frames,1193
streaming/chunk_build_usec_avg,1126.8
streaming/chunk_build_usec_p95,1246
streaming/chunk_build_usec_worst,1484
streaming/chunk_build_usec_n,1488
streaming/chunks_built,1488
meta/mem_static_mb_final,207
meta/video_mem_mb,155
