key,value
meta/scenario,s1
meta/config,c2
meta/world,100x32x100
meta/seed,1337
build/populate_ms,69.6
build/cells,87280
build/houses,36
s1_near/frame_ms_avg,16.675
s1_near/frame_ms_p95,16.667
s1_near/frame_ms_worst,17.276
s1_near/draw_calls_max,1598
s1_near/frames,900
s1_far/frame_ms_avg,16.692
s1_far/frame_ms_p95,16.667
s1_far/frame_ms_worst,30.756
s1_far/draw_calls_max,1390
s1_far/frames,899
s1_full/frame_ms_avg,16.684
s1_full/frame_ms_p95,16.667
s1_full/frame_ms_worst,28.836
s1_full/draw_calls_max,774
s1_full/frames,900
meta/mem_static_mb,88.5
