key,value
meta/world,16000x32x16000
meta/region_size_chunks,32
meta/view_radius_chunks,24
meta/settlement_radius_chunks,8
meta/page_budget_ms,4.0
meta/evict_budget_ms,4.0
meta/use_async_io,true
meta/real_max_camera_speed_cells_per_sec,144.0
meta/stress_camera_speed_cells_per_sec,120.0
meta/settlement_resident_at_boot,289
c3/tested,20
c3/mismatches,0
travel_real/ticks,26640
travel_real/frame_usec_avg,4941.6
travel_real/frame_usec_p95,6732.0
travel_real/frame_usec_worst,54686.0
travel_real/io_usec_avg,223.1
travel_real/io_usec_worst,48574.0
travel_real/io_active_ticks,1358
travel_real/regen_usec_avg,4607.8
travel_real/regen_usec_worst,15010.0
travel_real/regen_active_ticks,26636
travel_real/eviction_active_ticks,3882
travel_real/worst_evict_frame_usec,54686
travel_real/mem_peak_mb,38.9
travel_real/mem_first_avg_mb,31.2
travel_real/mem_last_avg_mb,32.8
travel_stress/ticks,31968
travel_stress/frame_usec_avg,4902.1
travel_stress/frame_usec_p95,6649.0
travel_stress/frame_usec_worst,18868.0
travel_stress/io_usec_avg,189.3
travel_stress/io_usec_worst,8414.0
travel_stress/io_active_ticks,1801
travel_stress/regen_usec_avg,4618.7
travel_stress/regen_usec_worst,17208.0
travel_stress/regen_active_ticks,31966
travel_stress/eviction_active_ticks,3888
travel_stress/worst_evict_frame_usec,18868
travel_stress/mem_peak_mb,43.5
travel_stress/mem_first_avg_mb,35.1
travel_stress/mem_last_avg_mb,37.2
c5/mutated_count,30
c5/pristine_count,10
c5/tested,40
c5/mismatches,0
c5/bytes_written,811008
c5/naive_full_world_bytes,8192000000
c5/region_file_count,49
aggregate/page_ins,222211
aggregate/regen,218996
aggregate/load,3215
aggregate/disk_footprint_mb,9.00
